"","measure","from","to","y","p"
"1","Richness","Meadow","Pine","466.618080195909","0.0011"
"2","Richness","Meadow","Alder zone","509.037905668264","0.0013"
"3","Richness","Pine","Spruce","551.457731140619","0.028"
"4","Richness","Pine","Spruce-Alder","593.877556612975","9.7e-05"
"5","Richness","Pine","Alder zone","636.29738208533","2.3e-06"
"6","Richness","Spruce","Spruce-Alder","678.717207557685","0.0038"
"7","Richness","Spruce","Alder zone","721.137033030041","4.2e-05"
"8","Richness","Spruce-Alder","Alder zone","763.556858502396","0.049"
"9","Simpson","Pine","Spruce","1.059582766771","0.0062"
"10","Simpson","Pine","Spruce-Alder","1.15590847284109","0.00043"
"11","Simpson","Pine","Alder zone","1.25223417891118","0.00031"
"12","Simpson","Spruce","Alder zone","1.34855988498127","0.037"
