Observed	Shannon	NGI_ID	User_ID	Mreads	Q30	Sample_ID_O	Site	Transect	Ecotype	Type	Main_Analysis	Reads_Sample
240	2.89234588464971	P9723_1001	3a	0.02	71.46.00	3	I	1	Meadow	A	Yes	95207
134	2.09685462350038	P9723_1002	23a	0.26	70.55.00	23	V	1	Pine	A	Yes	101541
203	2.97868447266892	P9723_1003	43a	0.28	69.03.00	43	IV	2	Spruce	A	Yes	102129
296	3.6213592758961	P9723_1004	63a	0.02	69.63	63	III	3	Spruce-Alder	A	Yes	63080
257	2.80590811776766	P9723_1005	3b	0.22	69.71	3	I	1	Meadow	B	No	96969
137	2.012550920894	P9723_1006	23b	0.27	70.34.00	23	V	1	Pine	B	No	100804
318	3.882019241571	P9723_1009	4a	0.15	69.96	4	I	1	Meadow	A	Yes	57839
106	1.78453595105574	P9723_1010	24a	0.02	72.89	24	V	1	Pine	A	Yes	79197
224	2.89706748674578	P9723_1011	44a	0.23	69.44.00	44	IV	2	Spruce	A	Yes	93889
296	3.89782449843671	P9723_1012	64a	0.16	71.26.00	64	III	3	Spruce-Alder	A	Yes	51368
326	3.78696379060652	P9723_1013	4b	0.19	68.05.00	4	I	1	Meadow	B	No	63545
114	1.82826736200376	P9723_1014	24b	0.25	71.39.00	24	V	1	Pine	B	No	88016
219	2.95601628859286	P9723_1015	44b	0.18	70.32.00	44	IV	2	Spruce	B	No	75944
307	3.98267287725703	P9723_1016	64b	0.18	70.05.00	64	III	3	Spruce-Alder	B	No	56164
213	2.04113867379306	P9723_1017	5a	0.02	72.37.00	5	I	1	Meadow	A	Yes	115531
133	1.68254557740032	P9723_1018	25a	0.25	73.63	25	V	1	Pine	A	Yes	71138
182	2.43612753169382	P9723_1019	45a	0.18	70.18.00	45	IV	2	Spruce	A	Yes	61009
346	3.6361438678913	P9723_1020	65a	0.19	70.74	65	III	3	Spruce-Alder	A	Yes	54663
209	1.82803052718856	P9723_1021	5b	0.24	72.13.00	5	I	1	Meadow	B	No	137004
130	1.7023204004383	P9723_1022	25b	0.24	72.54.00	25	V	1	Pine	B	No	64627
192	2.48789535496361	P9723_1023	45b	0.17	71.18.00	45	IV	2	Spruce	B	No	64924
363	3.76254860978027	P9723_1024	65b	0.02	70.73	65	III	3	Spruce-Alder	B	No	54687
368	3.87272670265038	P9723_1025	8a	0.21	71.05.00	8	II	1	Alder	A	Yes	65405
187	1.35539598244334	P9723_1026	28a	0.23	72.68	28	I	2	Meadow	A	Yes	116597
160	2.14868464577971	P9723_1027	48a	0.23	71.59.00	48	V	2	Pine	A	Yes	115263
235	3.9763777136279	P9723_1028	68a	0.16	66.21.00	68	IV	3	Spruce	A	Yes	25018
395	3.98885707219676	P9723_1029	8b	0.24	70.12.00	8	II	1	Alder	B	No	64240
54	0.668679134942095	P9723_1030	28b	0.12	59.04.00	28	I	2	Meadow	B	No	34727
172	2.33376270460901	P9723_1031	48b	0.02	72.04.00	48	V	2	Pine	B	No	103930
319	4.13569899336413	P9723_1032	68b	0.13	70.01.00	68	IV	3	Spruce	B	No	31962
436	4.33889126636584	P9723_1033	9a	0.18	70.98	9	II	1	Alder	A	Yes	62617
273	3.38382664205361	P9723_1034	29a	0.02	70.65	29	I	2	Meadow	A	Yes	79194
206	2.35162164361528	P9723_1035	49a	0.24	71.51.00	49	V	2	Pine	A	Yes	104091
237	3.75980727306539	P9723_1036	69a	0.22	70.36.00	69	IV	3	Spruce	A	Yes	43494
478	4.38062045059659	P9723_1037	9b	0.25	69.13.00	9	II	1	Alder	B	No	82651
262	3.52855682536607	P9723_1038	29b	0.18	68.57.00	29	I	2	Meadow	B	No	65402
235	2.52100356722005	P9723_1039	49b	0.24	72.21.00	49	V	2	Pine	B	No	107326
255	3.77605120923197	P9723_1040	69b	0.17	72.11.00	69	IV	3	Spruce	B	No	38242
426	4.23435258445438	P9723_1041	10a	0.17	70.42.00	10	II	1	Alder	A	Yes	70821
227	3.45979853872664	P9723_1042	30a	0.15	70.09.00	30	I	2	Meadow	A	Yes	43699
164	2.76452962558847	P9723_1043	50a	0.16	70.47.00	50	V	2	Pine	A	Yes	55418
216	3.07770975984722	P9723_1044	70a	0.02	70.28.00	70	IV	3	Spruce	A	Yes	56852
427	4.34130850754147	P9723_1045	10b	0.19	68.00.00	10	II	1	Alder	B	No	71147
265	3.51132865565007	P9723_1046	30b	0.21	69.55.00	30	I	2	Meadow	B	No	59198
181	2.89437077453893	P9723_1047	50b	0.15	70.22.00	50	V	2	Pine	B	No	56272
190	3.08416000846477	P9723_1048	70b	0.15	69.05.00	70	IV	3	Spruce	B	No	43128
154	3.21076508111624	P9723_1049	13a	0.12	71.02.00	13	III	1	Spruce-Alder	A	Yes	41621
315	3.36298672250555	P9723_1050	33a	0.11	72.46.00	33	II	2	Alder	A	Yes	50091
244	3.83195469340521	P9723_1051	53a	0.14	67.42.00	53	I	3	Meadow	A	Yes	44491
168	2.70949210068245	P9723_1052	73a	0.17	70.21.00	73	V	3	Pine	A	Yes	45852
193	3.2873064305552	P9723_1053	13b	0.19	69.76	13	III	1	Spruce-Alder	B	No	61523
312	3.54646435817097	P9723_1054	33b	0.01	70.68	33	II	2	Alder	B	No	40893
263	3.89007639760036	P9723_1055	53b	0.13	68.47.00	53	I	3	Meadow	B	No	45621
155	2.90358014510572	P9723_1056	73b	0.11	69.53.00	73	V	3	Pine	B	No	29434
376	3.51515165374715	P9723_1058	34a	0.18	70.59.00	34	II	2	Alder	A	Yes	69590
233	2.2118933737865	P9723_1059	54a	0.22	69.02.00	54	I	3	Meadow	A	Yes	106603
196	3.26752576294648	P9723_1060	74a	0.21	69.54.00	74	V	3	Pine	A	Yes	56655
294	3.8480070222178	P9723_1061	14b	0.23	69.61	14	III	1	Spruce-Alder	B	Yes	61074
378	3.57764426541183	P9723_1062	34b	0.18	70.05.00	34	II	2	Alder	B	No	69125
246	2.37773906182172	P9723_1063	54b	0.19	69.05.00	54	I	3	Meadow	B	No	95017
192	3.35000450341937	P9723_1064	74b	0.02	68.65	74	V	3	Pine	B	No	51786
286	3.81620792636691	P9723_1065	15a	0.16	72.76	15	III	1	Spruce-Alder	A	Yes	55140
327	3.74040053335926	P9723_1066	35a	0.13	72.04.00	35	II	2	Alder	A	Yes	50586
250	3.98636606367449	P9723_1067	55a	0.13	68.18.00	55	I	3	Meadow	A	Yes	43365
207	3.56217705066366	P9723_1068	75a	0.18	70.59.00	75	V	3	Pine	A	Yes	67204
352	3.83094192580713	P9723_1069	15b	0.22	71.11.00	15	III	1	Spruce-Alder	B	No	71739
317	3.73813736210975	P9723_1070	35b	0.15	71.14.00	35	II	2	Alder	B	No	53148
322	4.08972345450326	P9723_1071	55b	0.02	68.34.00	55	I	3	Meadow	B	No	71743
167	3.51545130474974	P9723_1072	75b	0.11	69.54.00	75	V	3	Pine	B	No	37359
195	3.43678520588963	P9723_1073	18a	0.14	71.61	18	IV	1	Spruce	A	Yes	35474
281	3.83892687942011	P9723_1074	38a	0.12	65.91	38	III	2	Spruce-Alder	A	Yes	37922
243	3.33642067362054	P9723_1075	58a	0.15	70.08.00	58	II	3	Alder	A	Yes	48215
188	3.37694919875347	P9723_1077	18b	0.14	69.88	18	IV	1	Spruce	B	No	31166
269	3.82338273228936	P9723_1078	38b	0.11	66.18.00	38	III	2	Spruce-Alder	B	No	30523
248	3.3641116135402	P9723_1079	58b	0.15	70.28.00	58	II	3	Alder	B	No	51862
139	3.00714288388955	P9723_1081	19a	0.08	71.21.00	19	IV	1	Spruce	A	Yes	29174
261	3.53422778115582	P9723_1082	39a	0.11	71.74	39	III	2	Spruce-Alder	A	Yes	30158
299	3.83678221988169	P9723_1083	59a	0.11	69.57.00	59	II	3	Alder	A	Yes	34190
181	2.95039627941186	P9723_1085	19b	0.15	69.78	19	IV	1	Spruce	B	No	48839
261	3.62331208443603	P9723_1086	39b	0.01	70.92	39	III	2	Spruce-Alder	B	No	26695
299	3.78796657528698	P9723_1087	59b	0.09	70.68	59	II	3	Alder	B	No	34179
162	3.0803738706718	P9723_1089	20a	0.11	69.09.00	20	IV	1	Spruce	A	Yes	32020
237	3.10281764921747	P9723_1090	40a	0.12	68.04.00	40	III	2	Spruce-Alder	A	Yes	38044
265	3.50160240750353	P9723_1091	60a	0.11	69.57.00	60	II	3	Alder	A	Yes	35624
166	3.03390262272725	P9723_1093	20b	0.14	69.84	20	IV	1	Spruce	B	No	40339
266	3.18035625038807	P9723_1094	40b	0.13	69.45.00	40	III	2	Spruce-Alder	B	No	42821
282	3.49401237633885	P9723_1095	60b	0.11	70.56.00	60	II	3	Alder	B	No	40421
